,count,mean,std,min,25%,50%,75%,max
No diabetes,1222.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Gender (M),1222.0,0.5171849427168577,0.4999091778307324,0.0,0.0,1.0,1.0,1.0
Gender (F),1222.0,0.4828150572831424,0.4999091778307324,0.0,0.0,0.0,1.0,1.0
Case number,1222.0,1020554661.1595745,350642.43296498194,1020141410.0,1020292912.25,1020337178.0,1021032695.75,1021085189.0
Age,1222.0,57.714402618657935,20.04244730851469,18.0,42.0,59.0,74.0,97.0
Length of stay,1222.0,10.270867430441898,9.26068645292899,4.0,5.0,7.0,11.0,93.0
BMI,836.0,26.4761961722488,6.951181031244619,14.8,22.6,25.4,28.8,133.1
Fall,61.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
U69.*,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
T81.*,47.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
T84.*,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
N17.*,34.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
I21.*,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
R96.*,0.0,,,,,,,
TOD,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
INTENSIV,260.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
