,count,mean,std,min,25%,50%,75%,max
Pre-diabetes,174.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Gender (M),174.0,0.5287356321839081,0.5006141998630396,0.0,0.0,1.0,1.0,1.0
Gender (F),174.0,0.47126436781609193,0.5006141998630396,0.0,0.0,0.0,1.0,1.0
Case number,174.0,1020601948.2758621,366621.0865539417,1020239070.0,1020286393.25,1020346841.0,1021039392.25,1021083921.0
Age,174.0,66.09770114942529,14.918533897279454,19.0,56.0,68.0,78.75,92.0
Length of stay,174.0,10.408045977011493,6.8180433582420195,4.0,6.0,8.0,12.0,37.0
BMI,136.0,28.352941176470587,6.842177920283166,15.8,24.275,26.6,31.225,56.4
Fall,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
U69.*,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
T81.*,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
T84.*,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
N17.*,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
I21.*,0.0,,,,,,,
R96.*,0.0,,,,,,,
TOD,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
INTENSIV,35.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
